524	745	38	917	511
619	673	459	73	350
698	155	999	117	340
442	212	280	783	648
901	387	635	803	346
966	16	420	302	969
695	666	910	538	296
811	158	215	566	142
442	67	694	16	778
523	211	636	782	794
47	504	292	247	375
338	721	673	549	332
366	167	120	266	216
687	853	213	15	108
747	856	191	878	648
25	228	52	859	185
195	465	907	226	801
160	393	404	528	497
18	814	828	993	890
80	591	874	215	437
854	753	35	377	884
771	723	754	847	791
878	971	377	16	376
924	314	618	499	117
335	798	7	685	92
807	864	51	679	718
648	56	575	974	377
900	812	606	238	957
690	313	304	296	605
402	762	724	673	26
960	667	689	862	62
992	677	467	505	767
80	871	565	891	977
137	27	636	798	418
553	294	820	602	334
570	626	574	658	203
178	411	5	589	18
65	617	412	863	707
302	127	464	578	470
528	998	325	3	945
384	785	688	214	585
969	841	532	686	150
923	606	232	269	467
540	63	422	534	160
529	26	792	770	654
404	521	134	977	144
213	747	288	346	47
89	468	847	679	277
402	427	23	322	706
736	479	909	351	514
812	147	204	681	548
466	913	364	732	726
157	474	319	119	710
652	280	395	905	357
926	114	479	240	112
906	329	729	216	436
652	77	656	738	632
515	863	527	108	389
335	802	522	838	529
361	865	800	697	379
577	799	573	92	660
921	542	335	372	614
942	244	738	227	38
462	524	861	886	375
523	498	276	327	688
463	79	187	655	457
398	88	501	727	457
393	837	254	383	208
602	269	903	70	224
142	458	55	580	577
511	202	592	375	143
744	605	467	490	141
283	672	447	499	48
284	835	963	971	145
112	326	458	427	19
146	581	71	570	180
865	557	405	462	41
786	949	430	964	17
431	151	638	664	756
970	849	75	113	946
832	563	58	360	182
96	922	82	224	261
580	46	773	259	388
410	71	731	963	399
386	872	810	122	468
525	189	50	447	677
635	680	431	147	772
864	86	739	385	111
178	506	606	106	616
678	720	747	272	380
596	587	555	52	529
348	560	892	494	958
662	96	88	447	753
122	59	805	73	352
496	981	879	953	70
966	387	468	978	168
99	420	217	838	351
83	827	549	270	229
271	991	626	381	824
70	39	142	319	959
897	418	89	473	911
719	260	409	806	656
258	830	156	441	291
494	331	984	395	532
861	814	433	671	318
337	364	798	569	528
482	767	218	464	641
662	669	482	334	111
751	623	993	321	190
860	745	797	518	422
910	201	316	677	287
768	601	339	197	306
985	493	842	3	67
163	273	84	322	514
573	184	803	83	133
455	605	585	946	916
160	309	425	122	640
656	51	323	275	201
634	238	940	829	215
693	459	817	83	823
195	557	513	864	993
604	719	996	714	774
340	864	46	468	429
579	411	269	117	557
335	990	67	475	138
781	784	124	825	403
166	714	609	747	654
807	394	98	710	767
987	126	146	173	325
341	485	394	258	899
404	135	476	622	973
823	798	274	282	562
120	469	712	763	954
305	13	873	913	392
774	892	82	686	622
926	214	955	496	445
288	865	535	952	658
386	756	332	81	392
742	40	942	248	690
7	212	107	642	676
585	151	788	740	390
31	274	873	230	200
949	568	854	701	898
75	31	120	48	537
360	404	799	642	347
247	569	172	252	837
69	719	596	212	354
915	608	198	361	791
138	984	724	903	682
660	416	668	561	76
977	271	913	409	363
639	401	855	263	670
731	685	426	834	34
657	613	482	203	748
679	240	371	302	923
932	867	274	562	292
391	130	487	454	305
187	418	545	547	379
618	165	276	603	970
79	683	569	753	695
975	869	268	936	932
601	3	789	576	614
18	758	585	259	494
343	577	810	20	355
696	659	993	567	554
170	648	833	850	978
511	686	690	403	583
835	191	841	886	598
602	271	555	148	571
268	941	560	559	755
463	645	635	60	233
258	561	317	617	344
745	670	524	539	742
397	510	504	134	171
32	832	106	501	415
346	985	158	896	492
595	912	155	61	320
452	64	767	962	849
517	505	454	171	922
223	555	22	974	212
371	479	981	519	319
723	737	591	607	51
731	862	614	496	968
597	347	186	402	280
766	151	378	19	25
621	359	278	571	819
532	629	460	897	552
790	929	905	271	761
287	893	695	476	602
109	687	79	830	662
284	401	490	891	587
368	326	811	167	938
618	377	837	643	864
140	838	100	548	203
374	326	748	180	941
233	47	206	964	132
772	429	613	39	560
668	210	798	704	710
229	667	489	732	36
255	877	431	614	107
